Year,Leading Cause,Sex,Race Ethnicity,Deaths
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,10
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,184
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,34
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,56
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,152
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,60
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,191
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,11
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,177
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,286
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,35
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,63
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,159
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,60
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,189
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,166
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,271
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,42
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,68
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,148
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,64
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,176
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,6
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,12
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,169
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,258
2007,All Other Causes,F,Asian and Pacific Islander,182
2007,All Other Causes,M,Asian and Pacific Islander,221
2007,All Other Causes,F,Black Non-Hispanic,1230
2007,All Other Causes,M,Black Non-Hispanic,1163
2007,All Other Causes,F,Hispanic,820
2007,All Other Causes,M,Hispanic,988
2007,All Other Causes,F,Not Stated/Unknown,27
2007,All Other Causes,M,Not Stated/Unknown,43
2007,All Other Causes,F,Other Race/ Ethnicity,15
2007,All Other Causes,M,Other Race/ Ethnicity,24
2007,All Other Causes,F,White Non-Hispanic,1680
2007,All Other Causes,M,White Non-Hispanic,1749
2008,All Other Causes,F,Asian and Pacific Islander,214
2008,All Other Causes,M,Asian and Pacific Islander,238
2008,All Other Causes,F,Black Non-Hispanic,1268
2008,All Other Causes,M,Black Non-Hispanic,1216
2008,All Other Causes,F,Hispanic,885
2008,All Other Causes,M,Hispanic,1069
2008,All Other Causes,F,Not Stated/Unknown,42
2008,All Other Causes,M,Not Stated/Unknown,67
2008,All Other Causes,M,Other Race/ Ethnicity,8
2008,All Other Causes,F,Other Race/ Ethnicity,19
2008,All Other Causes,F,White Non-Hispanic,1706
2008,All Other Causes,M,White Non-Hispanic,1824
2009,All Other Causes,F,Asian and Pacific Islander,220
2009,All Other Causes,M,Asian and Pacific Islander,220
2009,All Other Causes,F,Black Non-Hispanic,1305
2009,All Other Causes,M,Black Non-Hispanic,1246
2009,All Other Causes,F,Hispanic,775
2009,All Other Causes,M,Hispanic,1067
2009,All Other Causes,F,Not Stated/Unknown,26
2009,All Other Causes,M,Not Stated/Unknown,55
2009,All Other Causes,F,Other Race/ Ethnicity,11
2009,All Other Causes,M,Other Race/ Ethnicity,18
2009,All Other Causes,F,White Non-Hispanic,1684
2009,All Other Causes,M,White Non-Hispanic,1818
2010,All Other Causes,F,Asian and Pacific Islander,238
2010,All Other Causes,M,Asian and Pacific Islander,308
2010,All Other Causes,F,Black Non-Hispanic,1326
2010,All Other Causes,M,Black Non-Hispanic,1230
2010,All Other Causes,F,Hispanic,1007
2010,All Other Causes,M,Hispanic,1167
2010,All Other Causes,F,Not Stated/Unknown,18
2010,All Other Causes,M,Not Stated/Unknown,32
2010,All Other Causes,M,Other Race/ Ethnicity,25
2010,All Other Causes,F,Other Race/ Ethnicity,27
2010,All Other Causes,F,White Non-Hispanic,2140
2010,All Other Causes,M,White Non-Hispanic,2034
2011,All Other Causes,F,Asian and Pacific Islander,278
2011,All Other Causes,M,Asian and Pacific Islander,340
2011,All Other Causes,F,Black Non-Hispanic,1473
2011,All Other Causes,M,Black Non-Hispanic,1337
2011,All Other Causes,F,Hispanic,1025
2011,All Other Causes,M,Hispanic,1207
2011,All Other Causes,F,Not Stated/Unknown,14
2011,All Other Causes,M,Not Stated/Unknown,38
2011,All Other Causes,M,Other Race/ Ethnicity,27
2011,All Other Causes,F,Other Race/ Ethnicity,38
2011,All Other Causes,M,White Non-Hispanic,2165
2011,All Other Causes,F,White Non-Hispanic,2445
2012,All Other Causes,F,Asian and Pacific Islander,327
2012,All Other Causes,M,Asian and Pacific Islander,333
2012,All Other Causes,F,Black Non-Hispanic,1483
2012,All Other Causes,M,Black Non-Hispanic,1320
2012,All Other Causes,F,Hispanic,1109
2012,All Other Causes,M,Hispanic,1199
2012,All Other Causes,F,Not Stated/Unknown,53
2012,All Other Causes,M,Not Stated/Unknown,78
2012,All Other Causes,F,Other Race/ Ethnicity,22
2012,All Other Causes,M,Other Race/ Ethnicity,24
2012,All Other Causes,F,White Non-Hispanic,2444
2012,All Other Causes,M,White Non-Hispanic,2316
2013,All Other Causes,F,Asian and Pacific Islander,320
2013,All Other Causes,M,Asian and Pacific Islander,395
2013,All Other Causes,F,Black Non-Hispanic,1557
2013,All Other Causes,M,Black Non-Hispanic,1341
2013,All Other Causes,F,Hispanic,1082
2013,All Other Causes,M,Hispanic,1193
2013,All Other Causes,F,Not Stated/Unknown,79
2013,All Other Causes,M,Not Stated/Unknown,139
2013,All Other Causes,F,Other Race/ Ethnicity,39
2013,All Other Causes,M,Other Race/ Ethnicity,42
2013,All Other Causes,M,White Non-Hispanic,2293
2013,All Other Causes,F,White Non-Hispanic,2595
2014,All Other Causes,F,Asian and Pacific Islander,339
2014,All Other Causes,M,Asian and Pacific Islander,424
2014,All Other Causes,F,Black Non-Hispanic,1536
2014,All Other Causes,M,Black Non-Hispanic,1375
2014,All Other Causes,F,Hispanic,1135
2014,All Other Causes,M,Hispanic,1195
2014,All Other Causes,F,Not Stated/Unknown,48
2014,All Other Causes,M,Not Stated/Unknown,96
2014,All Other Causes,F,Other Race/ Ethnicity,59
2014,All Other Causes,M,Other Race/ Ethnicity,74
2014,All Other Causes,M,White Non-Hispanic,2275
2014,All Other Causes,F,White Non-Hispanic,2578
2007,Alzheimer's Disease (G30),F,White Non-Hispanic,107
2008,Alzheimer's Disease (G30),F,White Non-Hispanic,151
2009,Alzheimer's Disease (G30),F,Asian and Pacific Islander,14
2009,Alzheimer's Disease (G30),F,Black Non-Hispanic,79
2009,Alzheimer's Disease (G30),F,Hispanic,56
2009,Alzheimer's Disease (G30),F,White Non-Hispanic,205
2010,Alzheimer's Disease (G30),F,Black Non-Hispanic,88
2010,Alzheimer's Disease (G30),F,Hispanic,71
2010,Alzheimer's Disease (G30),F,White Non-Hispanic,247
2011,Alzheimer's Disease (G30),F,Asian and Pacific Islander,24
2011,Alzheimer's Disease (G30),F,Black Non-Hispanic,90
2011,Alzheimer's Disease (G30),F,Hispanic,90
2011,Alzheimer's Disease (G30),F,White Non-Hispanic,231
2012,Alzheimer's Disease (G30),F,Black Non-Hispanic,115
2012,Alzheimer's Disease (G30),F,Hispanic,126
2012,Alzheimer's Disease (G30),F,White Non-Hispanic,222
2013,Alzheimer's Disease (G30),F,Black Non-Hispanic,106
2013,Alzheimer's Disease (G30),F,Hispanic,120
2013,Alzheimer's Disease (G30),F,Not Stated/Unknown,8
2013,Alzheimer's Disease (G30),F,White Non-Hispanic,263
2014,Alzheimer's Disease (G30),F,Asian and Pacific Islander,26
2014,Alzheimer's Disease (G30),F,Black Non-Hispanic,123
2014,Alzheimer's Disease (G30),F,Hispanic,142
2014,Alzheimer's Disease (G30),F,White Non-Hispanic,276
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,267
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Hispanic,114
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,286
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,5
2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,255
2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,7
2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,299
2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,266
2012,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,235
2013,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,174
2014,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,186
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,56
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,70
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,213
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,164
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7
2007,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,267
2007,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,372
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,48
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,65
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,206
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,267
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,124
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,152
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,13
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,5
2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245
2008,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,379
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,61
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,58
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,154
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,245
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,143
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,154
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,5
2009,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,227
2009,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,390
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,89
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,83
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,171
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,259
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,140
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,168
2010,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,276
2010,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,382
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,79
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,98
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,200
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,281
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,147
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,179
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,5
2011,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,290
2011,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,466
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,70
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,102
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,170
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,271
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,129
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,169
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,9
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,10
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8
2012,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,285
2012,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,416
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,71
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,80
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,191
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,271
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,158
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,222
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,14
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,7
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,10
2013,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,249
2013,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,427
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,91
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,112
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,197
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,274
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,165
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,220
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,8
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,10
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8
2014,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,277
2014,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,418
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,6
2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,8
2010,Certain Conditions originating in the Perinatal Period (P00-P96),F,Asian and Pacific Islander,18
2010,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,5
2010,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Asian and Pacific Islander,19
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,10
2011,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,14
2012,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,11
2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,17
2013,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,9
2013,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,25
2014,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,10
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,25
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,8
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,107
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,17
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,119
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,10
2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18
2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,150
2011,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,167
2011,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,5
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,20
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,54
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,143
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,29
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,16
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,31
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,66
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,164
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,10
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,29
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,43
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,163
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,137
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,116
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6
2007,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,345
2007,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,472
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,46
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,191
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,132
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,10
2008,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,347
2008,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,518
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,51
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,147
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,188
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,111
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,155
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,6
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,7
2009,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,371
2009,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,458
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,28
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,61
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,206
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,202
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,149
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,12
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,5
2010,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,388
2010,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,501
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,73
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,221
